,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,webURL,numViolations,id,impact,tags,description,help,helpUrl,html,failureSummary,DOM
129,463,37,2,https://www.baidu.com/,8,html-has-lang,serious,"['cat.language', 'wcag2a', 'wcag311', 'ACT', 'TTv5', 'TT11.a']",Ensures every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.7/html-has-lang?application=playwright,[['<html>']],[['Fix any of the following:\n  The <html> element does not have a lang attribute']],21
128,462,36,1,https://www.baidu.com/,8,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143', 'ACT', 'TTv5', 'TT13.c']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.7/color-contrast?application=playwright,"[['<a class=""s-top-login-btn c-btn c-btn-primary c-btn-mini lb"" style=""position:relative;overflow: visible;"" id=""s-top-loginbtn"" href=""https://passport.baidu.com/v2/?login&amp;tpl=mn&amp;u=http%3A%2F%2Fwww.baidu.com%2F&amp;sms=5"" name=""tj_login"" onclick=""return false;"">登录</a>', '<input type=""submit"" id=""su"" value=""百度一下"" class=""bg s_btn"">', '<a class=""text-color"" href=""//home.baidu.com"" target=""_blank"">关于百度</a>', '<a class=""text-color"" href=""http://ir.baidu.com"" target=""_blank"">About Baidu</a>', '<a class=""text-color"" href=""//www.baidu.com/duty"" target=""_blank"">使用百度前必读</a>', '<a class=""text-color"" href=""//help.baidu.com"" target=""_blank"">帮助中心</a>', '<a class=""text-color"" href=""https://e.baidu.com/?refer=1271"" target=""_blank"">企业推广</a>', '<a class=""text-color"" href=""http://www.beian.gov.cn/portal/registerSystemInfo?recordcode=11000002000001"" target=""_blank"">京公网安备11000002000001号</a>', '<a class=""text-color"" href=""https://beian.miit.gov.cn"" target=""_blank"">京ICP证030173号</a>', '<span class=""text-color"">互联网新闻信息服务许可证11220180008</span>']]","[['Fix any of the following:\n  Element has insufficient color contrast of 4.34 (foreground color: #ffffff, background color: #4e6ef2, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 4.34 (foreground color: #ffffff, background color: #4e6ef2, font size: 12.8pt (17px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 1.91 (foreground color: #bbbbbb, background color: #ffffff, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 1.91 (foreground color: #bbbbbb, background color: #ffffff, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 1.91 (foreground color: #bbbbbb, background color: #ffffff, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 1.91 (foreground color: #bbbbbb, background color: #ffffff, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 1.91 (foreground color: #bbbbbb, background color: #ffffff, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 1.91 (foreground color: #bbbbbb, background color: #ffffff, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 1.91 (foreground color: #bbbbbb, background color: #ffffff, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 1.91 (foreground color: #bbbbbb, background color: #ffffff, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1']]",21
134,468,42,7,https://www.baidu.com/,8,region,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.7/region?application=playwright,"[['<a id=""aging-total-page"" role=""pagedescription"" aria-label=""欢迎进入 百度一下，你就知道，盲人用户进入读屏幕模式请按快捷键Ctrl加Alt加R；阅读详细操作说明请按快捷键Ctrl加Alt加问号键。"" tabindex=""0"" href=""javascript:void(0)""></a>', '<a href=""http://news.baidu.com"" target=""_blank"" class=""mnav c-font-normal c-color-t"">新闻</a>', '<a href=""https://www.hao123.com?src=from_pc"" target=""_blank"" class=""mnav c-font-normal c-color-t"">hao123</a>', '<a href=""http://map.baidu.com"" target=""_blank"" class=""mnav c-font-normal c-color-t"">地图</a>', '<a href=""http://tieba.baidu.com/"" target=""_blank"" class=""mnav c-font-normal c-color-t"">贴吧</a>', '<a href=""https://haokan.baidu.com/?sfrom=baidu-top"" target=""_blank"" class=""mnav c-font-normal c-color-t"">视频</a>', '<a href=""http://image.baidu.com/"" target=""_blank"" class=""mnav c-font-normal c-color-t"">图片</a>', '<a href=""https://pan.baidu.com?from=1026962h"" target=""_blank"" class=""mnav c-font-normal c-color-t"">网盘</a>', '<a href=""http://www.baidu.com/more/"" name=""tj_briicon"" class=""s-bri c-font-normal c-color-t"" target=""_blank"">更多</a>', '<span class=""s-top-right-text c-font-normal c-color-t s-top-right-new"" id=""s-usersetting-top"" name=""tj_settingicon"">设置</span>', '<a class=""s-top-login-btn c-btn c-btn-primary c-btn-mini lb"" style=""position:relative;overflow: visible;"" id=""s-top-loginbtn"" href=""https://passport.baidu.com/v2/?login&amp;tpl=mn&amp;u=http%3A%2F%2Fwww.baidu.com%2F&amp;sms=5"" name=""tj_login"" onclick=""return false;"">登录</a>', '<img hidefocus=""true"" id=""s_lg_img_new"" class=""index-logo-srcnew"" src=""//www.baidu.com/img/PCtm_d9c8750bed0b3c7d089fa7d55720d6cf.png"" width=""270"" height=""129"" onerror=""this.src=\'//www.baidu.com/img/flexible/logo/pc/index@2.png\';this.onerror=null;"" usemap=""#mp"">', '<input id=""kw"" name=""wd"" class=""s_ipt"" value="""" maxlength=""255"" autocomplete=""off"">', '<div class=""s-hotsearch-title"">', '<i class=""c-icon title-content-top-icon c-color-red c-gap-right-small"" style=""display: ;"">\ue62e</i>', '<span class=""title-content-title"">万里河山如此多彩</span>', '<span class=""title-content-index c-index-single c-index-single-hot3"" style=""display: ;"">3</span>', '<span class=""title-content-title"">他们是暴雨中的逆行者</span>', '<span class=""title-content-index c-index-single c-index-single-hot1"" style=""display: ;"">1</span>', '<span class=""title-content-title"">中国游客亲历夏威夷“致命野火”</span>', '<span class=""title-content-mark ie-vertical c-text c-gap-left-small c-text-hot"">热</span>', '<span class=""title-content-index c-index-single c-index-single-hot4"" style=""display: ;"">4</span>', '<span class=""title-content-title"">吐鲁番多名游客突然头发直立如刺猬</span>', '<span class=""title-content-mark ie-vertical c-text c-gap-left-small c-text-hot"">热</span>', '<span class=""title-content-index c-index-single c-index-single-hot2"" style=""display: ;"">2</span>', '<span class=""title-content-title"">在缅中企员工：不要妖魔化缅甸</span>', '<span class=""title-content-mark ie-vertical c-text c-gap-left-small c-text-hot"">热</span>', '<span class=""title-content-index c-index-single c-index-single-hot5"" style=""display: ;"">5</span>', '<span class=""title-content-title"">女子称带3娃买4张票登机被拒</span>', '<p class=""lh""><a class=""text-color"" href=""//home.baidu.com"" target=""_blank"">关于百度</a></p>', '<p class=""lh""><a class=""text-color"" href=""http://ir.baidu.com"" target=""_blank"">About Baidu</a></p>', '<p class=""lh""><a class=""text-color"" href=""//www.baidu.com/duty"" target=""_blank"">使用百度前必读</a></p>', '<p class=""lh""><a class=""text-color"" href=""//help.baidu.com"" target=""_blank"">帮助中心</a></p>', '<p class=""lh""><a class=""text-color"" href=""https://e.baidu.com/?refer=1271"" target=""_blank"">企业推广</a></p>', '<p class=""lh""><a class=""text-color"" href=""http://www.beian.gov.cn/portal/registerSystemInfo?recordcode=11000002000001"" target=""_blank"">京公网安备11000002000001号</a></p>', '<p class=""lh""><a class=""text-color"" href=""https://beian.miit.gov.cn"" target=""_blank"">京ICP证030173号</a></p>', '<p class=""lh""><span class=""text-color"">互联网新闻信息服务许可证11220180008</span></p>', '<div class=""accessibility-icon""><span class=""c-icon"">\ue695</span></div>', '<span class=""c-icon c-color-gray2"">\ue60c</span>', '<img class=""icon"" src=""https://pss.bdstatic.com/static/superman/img/qrcode/qrcode@2x-daf987ad02.png"">']]","[['Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks']]",21
132,466,40,5,https://www.baidu.com/,8,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",Ensures the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.7/landmark-one-main?application=playwright,[['<html>']],[['Fix all of the following:\n  Document does not have a main landmark']],21
133,467,41,6,https://www.baidu.com/,8,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.7/page-has-heading-one?application=playwright,[['<html>']],[['Fix all of the following:\n  Page must have a level-one heading']],21
136,470,44,1,https://www.barclays.co.uk/,7,landmark-contentinfo-is-top-level,moderate,"['cat.semantics', 'best-practice']",Ensures the contentinfo landmark is at top level,Contentinfo landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.7/landmark-contentinfo-is-top-level?application=playwright,"[['<div class=""footer-legal"" role=""contentinfo"">']]",[['Fix any of the following:\n  The contentinfo landmark is contained in another landmark.']],22
135,469,43,0,https://www.barclays.co.uk/,7,heading-order,moderate,"['cat.semantics', 'best-practice']",Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.7/heading-order?application=playwright,"[['<p class=""h4 jumbo-tagline"" role=""heading"" aria-level=""4"">Find your way around money</p>', '<h6 class=""m-alert__heading"">We’re here to help if you have a residential mortgage with us</h6>', '<h4>Bank</h4>', '<h4>Personal current accounts</h4>']]","[['Fix any of the following:\n  Heading order invalid', 'Fix any of the following:\n  Heading order invalid', 'Fix any of the following:\n  Heading order invalid', 'Fix any of the following:\n  Heading order invalid']]",22
141,475,49,6,https://www.barclays.co.uk/,7,region,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.7/region?application=playwright,"[['<span id=""skiplinks-label"">Skip to:</span>', '<li><a id=""home-link"" aria-labelledby=""skiplinks-label home-link"" href=""/"" accesskey=""1"">Home</a></li>']]","[['Fix any of the following:\n  Some page content is not contained by landmarks', 'Fix any of the following:\n  Some page content is not contained by landmarks']]",22
137,471,45,2,https://www.barclays.co.uk/,7,landmark-no-duplicate-banner,moderate,"['cat.semantics', 'best-practice']",Ensures the document has at most one banner landmark,Document should not have more than one banner landmark,https://dequeuniversity.com/rules/axe/4.7/landmark-no-duplicate-banner?application=playwright,"[['<header class=""global-header js-globalheader desktop"" data-interaction=""mouse"">']]",[['Fix any of the following:\n  Document has more than one banner landmark']],22
138,472,46,3,https://www.barclays.co.uk/,7,landmark-no-duplicate-contentinfo,moderate,"['cat.semantics', 'best-practice']",Ensures the document has at most one contentinfo landmark,Document should not have more than one contentinfo landmark,https://dequeuniversity.com/rules/axe/4.7/landmark-no-duplicate-contentinfo?application=playwright,"[['<footer class=""footer"" id=""globalfooter"">']]",[['Fix any of the following:\n  Document has more than one contentinfo landmark']],22
139,473,47,4,https://www.barclays.co.uk/,7,landmark-unique,moderate,"['cat.semantics', 'best-practice']",Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.7/landmark-unique?application=playwright,"[['<footer class=""footer"" id=""globalfooter"">']]","[['Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable']]",22
140,474,48,5,https://www.barclays.co.uk/,7,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a', 'ACT', 'TTv5', 'TT6.a']",Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.7/link-name?application=playwright,"[['<a href=""https://www.barclays.co.uk/current-accounts/service-quality-metrics#ni"" class=""no-text-decoration"" data-component-type=""Image"">']]","[['Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute']]",22
106,430,4,2,https://www.bbc.com/,6,html-has-lang,serious,"['cat.language', 'wcag2a', 'wcag311', 'ACT', 'TTv5', 'TT11.a']",Ensures every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.7/html-has-lang?application=playwright,"[['<html class=""b-header--black--white b-pw-1280 b-reith-sans-font id-svg flexbox flexboxlegacy flexwrap svg inlinesvg fontface csscolumns csscolumns-width csscolumns-span csscolumns-fill csscolumns-gap csscolumns-rule csscolumns-rulecolor csscolumns-rulestyle csscolumns-rulewidth csscolumns-breakbefore csscolumns-breakafter csscolumns-breakinside cssgradients supports cssfilters csstransforms generatedcontent b-reith-sans-loaded bbcdotcom"" style="""">']]",[['Fix any of the following:\n  The <html> element does not have a lang attribute']],18
105,429,3,1,https://www.bbc.com/,6,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag412', 'section508', 'section508.22.i', 'TTv5', 'TT12.d']",Ensures <iframe> and <frame> elements have an accessible name,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.7/frame-title?application=playwright,"[['<iframe name=""edr_l_first"" id=""edr_l_first"" frameborder=""0"" src=""https://edigitalsurvey.com/l.php?id=INS-vt29-666188954&amp;v=7291&amp;x=1280&amp;y=720&amp;d=24&amp;c=null&amp;ck=1&amp;p=%2F&amp;fu=https%3A%2F%2Fwww.bbc.com%2F&amp;xdm=edr&amp;xdm_o=https%3A%2F%2Fwww.bbc.com&amp;xdm_c=edr0"" scrolling=""no"">']]","[['Fix any of the following:\n  Element has no title attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element\'s default semantics were not overridden with role=""none"" or role=""presentation""']]",18
108,432,6,4,https://www.bbc.com/,6,landmark-unique,moderate,"['cat.semantics', 'best-practice']",Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.7/landmark-unique?application=playwright,"[['<nav class=""orbit-header-links international"">']]","[['Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable']]",18
109,433,7,5,https://www.bbc.com/,6,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.7/page-has-heading-one?application=playwright,"[['<html class=""b-header--black--white b-pw-1280 b-reith-sans-font id-svg flexbox flexboxlegacy flexwrap svg inlinesvg fontface csscolumns csscolumns-width csscolumns-span csscolumns-fill csscolumns-gap csscolumns-rule csscolumns-rulecolor csscolumns-rulestyle csscolumns-rulewidth csscolumns-breakbefore csscolumns-breakafter csscolumns-breakinside cssgradients supports cssfilters csstransforms generatedcontent b-reith-sans-loaded bbcdotcom"" style="""">']]",[['Fix all of the following:\n  Page must have a level-one heading']],18
107,431,5,3,https://www.bbc.com/,6,image-redundant-alt,minor,"['cat.text-alternatives', 'best-practice']",Ensure image alternative is not repeated as text,Alternative text of images should not be repeated as text,https://dequeuniversity.com/rules/axe/4.7/image-redundant-alt?application=playwright,"[['<img src=""data:image/gif;base64,R0lGODlhEAAJAIAAAP///wAAACH5BAEAAAAALAAAAAAQAAkAAAIKhI+py+0Po5yUFQA7"" alt=""Kakeibo: Japan\'s century-old technique to save money"">', '<img src=""data:image/gif;base64,R0lGODlhEAAJAIAAAP///wAAACH5BAEAAAAALAAAAAAQAAkAAAIKhI+py+0Po5yUFQA7"" alt=""Four scientifically-proven ways to live longer"">', '<img src=""data:image/gif;base64,R0lGODlhEAAJAIAAAP///wAAACH5BAEAAAAALAAAAAAQAAkAAAIKhI+py+0Po5yUFQA7"" alt=""The super volcano that caused two of the largest explosions in history"">', '<img src=""data:image/gif;base64,R0lGODlhEAAJAIAAAP///wAAACH5BAEAAAAALAAAAAAQAAkAAAIKhI+py+0Po5yUFQA7"" alt=""The indigenous guardians healing Canada"">', '<img src=""data:image/gif;base64,R0lGODlhEAAJAIAAAP///wAAACH5BAEAAAAALAAAAAAQAAkAAAIKhI+py+0Po5yUFQA7"" alt=""The town where people live underground"">', '<img src=""data:image/gif;base64,R0lGODlhEAAJAIAAAP///wAAACH5BAEAAAAALAAAAAAQAAkAAAIKhI+py+0Po5yUFQA7"" alt=""The US states pre-empting floods"">']]","[['Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text', 'Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text', 'Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text', 'Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text', 'Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text', 'Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text']]",18
104,428,2,0,https://www.bbc.com/,6,empty-heading,minor,"['cat.name-role-value', 'best-practice']",Ensures headings have discernible text,Headings should not be empty,https://dequeuniversity.com/rules/axe/4.7/empty-heading?application=playwright,"[['<h2 class=""module__title"">&nbsp;</h2>']]","[['Fix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute']]",18
46,215,43,3,https://www.eventbrite.com/,5,landmark-complementary-is-top-level,moderate,"['cat.semantics', 'best-practice']",Ensures the complementary landmark or aside is at top level,Aside should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.7/landmark-complementary-is-top-level?application=playwright,"[['<aside class=""tile--icon"">', '<aside class=""tile--icon"">', '<aside class=""tile--icon"">', '<aside class=""tile--icon"">', '<aside class=""tile--icon"">', '<aside class=""tile--icon"">', '<aside class=""tile--icon"">', '<aside class=""tile--icon"">']]","[['Fix any of the following:\n  The complementary landmark is contained in another landmark.', 'Fix any of the following:\n  The complementary landmark is contained in another landmark.', 'Fix any of the following:\n  The complementary landmark is contained in another landmark.', 'Fix any of the following:\n  The complementary landmark is contained in another landmark.', 'Fix any of the following:\n  The complementary landmark is contained in another landmark.', 'Fix any of the following:\n  The complementary landmark is contained in another landmark.', 'Fix any of the following:\n  The complementary landmark is contained in another landmark.', 'Fix any of the following:\n  The complementary landmark is contained in another landmark.']]",7
47,216,44,4,https://www.eventbrite.com/,5,landmark-unique,moderate,"['cat.semantics', 'best-practice']",Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.7/landmark-unique?application=playwright,"[['<aside class=""tile--icon"">']]","[['Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable']]",7
44,213,41,1,https://www.eventbrite.com/,5,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/4.7/duplicate-id?application=playwright,"[['<path id=""logo-wordmark-brand_svg__Fill-10"" d=""M164.788 35.118V18.082h-3.677v-5.804h3.677V4.289h6.244v7.989h4.69v5.804h-4.69v17.036z""></path>', '<path id=""logo-wordmark-brand_svg__Fill-1"" d=""M98.445 35.118V17.965h-3.677v-5.687h3.677V4.283l6.244-1.413v9.408h4.69v5.687h-4.69v17.153z""></path>', '<path id=""logo-wordmark-brand_svg__Fill-2"" d=""M31.89 35.118l-9.364-22.84h6.57l5.932 15.49 5.982-15.49h6.57l-9.365 22.84z""></path>', '<svg id=""chevron-up-chunky_svg__eds-icon--chevron-up-chunky_svg"" x=""0"" y=""0"" viewBox=""0 0 24 24"" xml:space=""preserve""><path id=""chevron-up-chunky_svg__eds-icon--chevron-up-chunky_base"" fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M17 13.8l-5-5-5 5 1.4 1.4 3.6-3.6 3.6 3.6z""></path></svg>', '<path id=""chevron-up-chunky_svg__eds-icon--chevron-up-chunky_base"" fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M17 13.8l-5-5-5 5 1.4 1.4 3.6-3.6 3.6 3.6z""></path>', '<svg id=""chevron-down-chunky_svg__eds-icon--chevron-down-chunky_svg"" x=""0"" y=""0"" viewBox=""0 0 24 24"" xml:space=""preserve""><path id=""chevron-down-chunky_svg__eds-icon--chevron-down-chunky_base"" fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M7 10.2l5 5 5-5-1.4-1.4-3.6 3.6-3.6-3.6z""></path></svg>', '<path id=""chevron-down-chunky_svg__eds-icon--chevron-down-chunky_base"" fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M7 10.2l5 5 5-5-1.4-1.4-3.6 3.6-3.6-3.6z""></path>', '<svg id=""chevron-right-chunky_svg__eds-icon--chevron-right-chunky_svg"" x=""0"" y=""0"" viewBox=""0 0 24 24"" xml:space=""preserve""><path id=""chevron-right-chunky_svg__eds-icon--chevron-right-chunky_base"" fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M10.2 17l5-5-5-5-1.4 1.4 3.6 3.6-3.6 3.6z""></path></svg>', '<path id=""chevron-right-chunky_svg__eds-icon--chevron-right-chunky_base"" fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M10.2 17l5-5-5-5-1.4 1.4 3.6 3.6-3.6 3.6z""></path>', '<svg id=""chevron-left-chunky_svg__eds-icon--chevron-left-chunky_svg"" x=""0"" y=""0"" viewBox=""0 0 24 24"" xml:space=""preserve""><path id=""chevron-left-chunky_svg__eds-icon--chevron-left-chunky_base"" fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M13.8 7l-5 5 5 5 1.4-1.4-3.6-3.6 3.6-3.6z""></path></svg>', '<path id=""chevron-left-chunky_svg__eds-icon--chevron-left-chunky_base"" fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M13.8 7l-5 5 5 5 1.4-1.4-3.6-3.6 3.6-3.6z""></path>']]","[['Fix any of the following:\n  Document has multiple static elements with the same id attribute: logo-wordmark-brand_svg__Fill-10', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: logo-wordmark-brand_svg__Fill-1', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: logo-wordmark-brand_svg__Fill-2', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: chevron-up-chunky_svg__eds-icon--chevron-up-chunky_svg', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: chevron-up-chunky_svg__eds-icon--chevron-up-chunky_base', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: chevron-down-chunky_svg__eds-icon--chevron-down-chunky_svg', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: chevron-down-chunky_svg__eds-icon--chevron-down-chunky_base', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: chevron-right-chunky_svg__eds-icon--chevron-right-chunky_svg', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: chevron-right-chunky_svg__eds-icon--chevron-right-chunky_base', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: chevron-left-chunky_svg__eds-icon--chevron-left-chunky_svg', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: chevron-left-chunky_svg__eds-icon--chevron-left-chunky_base']]",7
45,214,42,2,https://www.eventbrite.com/,5,heading-order,moderate,"['cat.semantics', 'best-practice']",Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.7/heading-order?application=playwright,"[['<h3 class=""home__category-tiles--title eds-text-hs"">Check out trending categories</h3>']]",[['Fix any of the following:\n  Heading order invalid']],7
43,212,40,0,https://www.eventbrite.com/,5,aria-allowed-role,minor,"['cat.aria', 'best-practice']",Ensures role attribute has an appropriate value for the element,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.7/aria-allowed-role?application=playwright,"[['<select aria-labelledby=""global-footer-select-label"" class=""eds-field-styled__input eds-field-styled__select"" role=""listbox"" id=""global-footer-select"" name=""global-footer-select"">']]",[['Fix any of the following:\n  ARIA role listbox is not allowed for given element']],7
25,172,0,0,https://www.facebook.com/,5,aria-dialog-name,serious,"['cat.aria', 'best-practice']",Ensures every ARIA dialog and alertdialog node has an accessible name,ARIA dialog and alertdialog nodes should have an accessible name,https://dequeuniversity.com/rules/axe/4.7/aria-dialog-name?application=playwright,"[['<div class=""_59s7 _9l2g"" role=""dialog"" aria-labelledby=""manage_cookies_title"" style=""width: 680px; margin-top: 40px;"">']]","[['Fix any of the following:\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute']]",4
